rgb_time,pair_idx,est_x,est_y,est_z,gt_x,gt_y,gt_z,error_m
1311875572.406161,0,0.05680966212682892,0.5477938342436326,0.47980446211271977,0.0,0.0,0.0,0.7304229900609518
1311875572.570183,5,0.13095608851041948,0.42406506573960334,0.4413774780074591,-0.007400000000000004,0.0009999999999998899,0.03730000000000011,0.601169747500676
1311875572.738041,10,0.1948335231465623,0.29185632214670404,0.4144694935981453,-0.0378,0.0046999999999999265,0.05720000000000014,0.5140219844484075
1311875572.905964,15,0.24752290825807627,0.15300146787011365,0.3994229983938655,-0.1053,-0.001100000000000101,0.06150000000000011,0.5122726030493051
1311875573.07014,20,0.28826302804824677,0.009427513341659366,0.3964164919580951,-0.1833,-0.005800000000000027,0.07400000000000007,0.5714507510461128
1311875573.238077,25,0.27272145628154787,-0.05244342934209789,0.35019913536722536,-0.2573,-0.010699999999999932,0.11760000000000015,0.5803168236279491
1311875573.406185,30,0.27068677128438606,-0.03386129075340927,0.2570426359387594,-0.3301,-0.02520000000000011,0.1745000000000001,0.6064924148376061
1311875573.57012,35,0.26692669277960623,-0.013623115794897944,0.16425486141618773,-0.38330000000000003,-0.03689999999999993,0.2217,0.6531741799002129
1311875573.737992,40,0.2614425238322188,0.008257776456433441,0.07189821509952976,-0.43,-0.0394000000000001,0.2579,0.7176076166028345
1311875573.906096,45,0.2054109149412113,0.13666413458145177,-0.05367214558198663,-0.4711,-0.029100000000000126,0.2862,0.7750211878978766
1311875574.0701,50,0.2642370892686874,0.18901969437346694,-0.21634736499754437,-0.4907,-0.007800000000000029,0.3114000000000001,0.9419051343466572
1311875574.238111,55,0.25486770433400163,0.24859497616683396,-0.3052735150267464,-0.5066999999999999,0.013299999999999867,0.3299000000000001,1.0192126805948525
1311875574.406093,60,0.24352267748761441,0.23051481225359854,-0.27331290094540395,-0.5296,0.033299999999999885,0.34909999999999997,1.0119338792041273
1311875574.56996,65,0.272352527836769,0.24155993369867035,-0.2806704343912112,-0.5477,0.041099999999999914,0.3691,1.0653036894890082
1311875574.738003,70,0.30938154360780634,0.25902542278719987,-0.3149883194940777,-0.5618,0.04039999999999999,0.3821000000000001,1.1369637120800469
1311875574.906095,75,0.34715704916328716,0.276099793522598,-0.34863833208481854,-0.5701999999999999,0.04159999999999986,0.3913,1.2016833376976557
1311875575.06994,80,0.2797435220170059,0.29986696660346546,-0.32835033816431425,-0.5806,0.04919999999999991,0.4005000000000001,1.1550964113289612
1311875575.238113,85,0.22667396158867556,0.3173313760368927,-0.31234550545082806,-0.5898,0.06040000000000001,0.4105000000000001,1.1203343637927832
1311875575.40595,90,0.22136072783081676,0.3341196053679044,-0.34189489017200403,-0.5928,0.0706,0.4198000000000002,1.1456349239043835
1311875575.570117,95,0.12494737600852601,0.31627849067586145,-0.24804612441432095,-0.5937,0.0795999999999999,0.4296,1.0157140487983285
1311875575.738356,100,0.0351483284509403,0.3042316789622862,-0.14694816218944518,-0.594,0.0867,0.4375,0.8858483531798111
1311875575.906012,105,-0.06820732885654146,0.2986011331174757,-0.014963778355578494,-0.5932,0.0935999999999999,0.4466000000000001,0.728480535651894
1311875576.073986,110,0.05315691903978968,0.261456855330097,-0.11891451479035808,-0.5932,0.09529999999999994,0.45010000000000017,0.8770193187187513
1311875576.238012,115,0.18348011985177126,0.22635711245016615,-0.2120258661370953,-0.5967,0.09670000000000001,0.4497,1.0311998390882964
1311875576.406024,120,0.08691157916774889,0.2506369759217324,-0.17770644936351243,-0.6044999999999999,0.09729999999999994,0.44500000000000006,0.9430405728657569
1311875576.574005,125,0.06640382533026196,0.2576494101984463,-0.13697971252934293,-0.6127999999999999,0.08989999999999987,0.4379000000000002,0.9055078049597406
1311875576.73805,130,0.14020497880308902,0.2589572062296908,-0.17645665033627544,-0.6189,0.07519999999999993,0.4306000000000001,0.9892041530455069
1311875576.905915,135,0.07066477299707508,0.281299775001313,-0.12174856076556773,-0.6185999999999999,0.05929999999999991,0.42700000000000005,0.9085674495256942
1311875577.074024,140,0.12033944186241262,0.220878576446489,-0.06487125641834757,-0.6099,0.03380000000000005,0.42480000000000007,0.8989026507798806
1311875577.237827,145,0.16787024603746398,0.15902915279693292,-0.007722365375330775,-0.5909,0.009700000000000042,0.4258000000000002,0.88655125256661
1311875577.406236,150,0.2132408711395973,0.09575777723364381,0.04961064926330794,-0.5625,-0.012299999999999978,0.43290000000000006,0.8719868741932141
1311875577.57403,155,0.15225518173286515,0.13300049804785308,0.013958623233726486,-0.5275,-0.03190000000000004,0.4449000000000001,0.8215654274361366
1311875577.737982,160,0.08699084982784917,0.17242209954549276,-0.009298992641604553,-0.4951,-0.043300000000000116,0.45589999999999997,0.7757421507436519
1311875577.905834,165,0.01911753779773126,0.21254614474829975,-0.019545735045199464,-0.4655,-0.04849999999999999,0.4650000000000001,0.7333374509593646
1311875578.074023,170,-0.049618489638072666,0.25187320638174227,-0.016557388832105557,-0.4363,-0.05570000000000008,0.47320000000000007,0.6956911438672836
1311875578.237967,175,-0.020767806783775725,0.24935057656524245,-0.08452818288956476,-0.4107,-0.06790000000000007,0.4759,0.7528444672137088
1311875578.405945,180,-0.005736914835154899,0.17882133479222306,-0.03341985064172859,-0.392,-0.0827,0.4768000000000001,0.691315322773507
1311875578.574006,185,0.03616213499717623,0.09436811920308125,0.01397590189890402,-0.3775,-0.0999000000000001,0.4759,0.649792533410192
1311875578.73801,190,0.07899945981941978,0.010808816946415223,0.062102168503809174,-0.3642,-0.121,0.4722000000000002,0.6180449472384005
1311875578.905813,195,0.12749569736628802,-0.011064830773705903,0.08363036744652164,-0.3509,-0.15169999999999995,0.4589000000000001,0.6240737065433122
1311875579.073877,200,0.15078917466751834,-0.05586115306956785,0.14298820352842156,-0.33740000000000003,-0.1887000000000001,0.4416,0.5874894335291001
1311875579.238042,205,0.17464796478158512,-0.09172819552009648,0.24116690798996143,-0.323,-0.22399999999999998,0.4272,0.5475012679751884
1311875579.405822,210,0.1887616286786768,-0.11602657174443709,0.3379791275321201,-0.3084,-0.2602,0.41610000000000014,0.5235060010740462
1311875579.573975,215,0.25833589940641877,-0.18307584482172756,0.4702581113001504,-0.2898,-0.29310000000000014,0.4012,0.5633181176538885
1311875579.738021,220,0.29200110543446567,-0.19730018020501228,0.5099751808689676,-0.2731,-0.3218000000000001,0.38870000000000005,0.5912251127844962
1311875579.905837,225,0.3133428924117023,-0.20284857033531412,0.5469018794528027,-0.2589,-0.3481000000000001,0.381,0.6132563406450182
1311875580.073792,230,0.3434185277160659,-0.21357154657027322,0.5667721234999008,-0.23920000000000002,-0.36830000000000007,0.37329999999999997,0.6331008653527116
1311875580.238013,235,0.37493763991196055,-0.22432952257969263,0.588682066142201,-0.21300000000000002,-0.3853,0.3659000000000001,0.6490100245918825
1311875580.405844,240,0.4146018207584624,-0.2636655985652815,0.5800379771796853,-0.1819,-0.3971,0.35970000000000013,0.6497445542996401
1311875580.574161,245,0.4543985316562794,-0.3028628928012279,0.5713984478660836,-0.1493,-0.4014,0.35430000000000006,0.6490710397829446
1311875580.737976,250,0.5134471462677842,-0.3948167382114727,0.5593056277032769,-0.1128,-0.4041000000000001,0.347,0.6613209105362239
1311875580.905977,255,0.5009700944632924,-0.362723866145958,0.5692359939933507,-0.07579999999999999,-0.40690000000000004,0.3429,0.621162824746011
1311875581.073918,260,0.47612745465028783,-0.3045168800881255,0.5814021418140127,-0.039,-0.40800000000000014,0.3396000000000001,0.5783885600762031
1311875581.237884,265,0.44610100067476366,-0.23820512632741764,0.5747577573497054,-0.006199999999999997,-0.40870000000000006,0.33920000000000017,0.5377101023857046
