rgb_time,pair_idx,est_x,est_y,est_z,gt_x,gt_y,gt_z,error_m
1305031790.645155,0,0.05134445173045868,-0.007075550600772251,-0.03188454097698989,0.0,0.0,0.0,0.06085178792047803
1305031790.813207,5,0.04884928677062816,-0.03918302218540858,-0.07229767900548864,0.002708280285148912,-0.03153216923134772,-0.028939850799584832,0.06377640078548152
1305031790.981159,10,0.04689051393248548,-0.06420034855383014,-0.09161667361280382,0.012246129270676864,-0.06100350652243325,-0.041714030042843575,0.06083360110037511
1305031791.145096,15,0.09818694762342212,-0.05956549786475439,-0.04281420779346301,0.020834883055575404,-0.08182248704361667,-0.014054735285673248,0.08547410554748516
1305031791.313088,20,0.10576354236601657,-0.09460208253572158,0.013536013255419067,0.021522358915671225,-0.08869195751544762,0.034094371835896586,0.08691462865590292
1305031791.481375,25,0.09913841297893054,-0.10873614737462071,0.08118427101464379,0.011340533783940177,-0.07781589579221654,0.07967857961279434,0.09309563177536792
1305031791.645074,30,0.09149676041667787,-0.09461806447541517,0.1502639600322461,-0.005187479529910444,-0.05757554908005008,0.1175055871303341,0.10859604595032936
1305031791.813247,35,0.06093992710167065,-0.06953571949668552,0.2029645710557688,-0.0287010548370783,-0.040703941963782075,0.1597613619873257,0.103601613464567
1305031791.981259,40,0.029451282336274528,-0.0594719015706713,0.2636114639498189,-0.05148653517327745,-0.03109121166972817,0.20272595751269717,0.10518288243135297
1305031792.149109,45,0.0030136467005268744,-0.032974125297663845,0.3179877127484951,-0.0669956250149012,-0.029688016452576516,0.2404828967387409,0.10449446464847909
1305031792.313073,50,-0.00875665399170289,-0.03715450792386617,0.34982855001297886,-0.07747719047278451,-0.03784940929524394,0.2574919304273182,0.11510450181756846
1305031792.481098,55,-0.002056815515011766,-0.053624931437484064,0.3308122624526686,-0.07236412273800158,-0.05711351057555292,0.24477650711472743,0.11116401769421846
1305031792.649254,60,0.011262996589161939,-0.07441404149471656,0.27071851245093514,-0.05947551295636261,-0.0842787135150756,0.2108682520951739,0.09318423767700161
1305031792.813144,65,0.023458802888328235,-0.10911780162684628,0.2172625510915238,-0.0452916407774005,-0.11240328690513995,0.16957239201887453,0.08373630747843502
1305031792.981139,70,0.03329535373844644,-0.130683195530238,0.15392355162625843,-0.030043063522413427,-0.13851905828148886,0.12300171711225127,0.07091766843233692
1305031793.149098,75,0.027268839022114834,-0.1512725069449197,0.08293802563085276,-0.02107010705004414,-0.16433555954677587,0.08164477833996164,0.050089615083381826
1305031793.313159,80,0.018410012356356004,-0.172992383732757,0.026970162721408522,-0.015420227451541424,-0.18333056467278014,0.03992165648410961,0.03767100080026798
1305031793.481359,85,0.009736231354058378,-0.17993925877611844,-0.030766389186120773,-0.00865704885201346,-0.18910924764729314,-0.012317277306987728,0.027618312435145453
1305031793.649429,90,-0.0012554441291688784,-0.1603848712055078,-0.09020150065521879,0.005603612044918105,-0.1857499671952511,-0.06480179677388342,0.03654558391143444
1305031793.813185,95,-0.009444029040680577,-0.12255164509514126,-0.13728702074129606,0.020887955081896836,-0.17855673352097884,-0.10912451570195225,0.06963997329471946
1305031793.981122,100,-0.006221868904512269,-0.1392034139080728,-0.16960780889533958,0.029324881386643797,-0.17111161753022947,-0.13670222354354689,0.05800415900604826
1305031794.14925,105,-0.004205782458373664,-0.1313594785853375,-0.17336973438879497,0.03188749970197646,-0.17158033698282,-0.1393213018164412,0.06387282855777648
1305031794.313689,110,0.005118830752286058,-0.14637039624254644,-0.1407611057215314,0.03356810910044583,-0.18180485597287793,-0.1108684181409767,0.05439241809021001
1305031794.481048,115,0.015730175342244516,-0.16711037242925345,-0.08620821411540694,0.02997259375819561,-0.19726716911213832,-0.06376388103108943,0.04019983776220581
1305031794.64905,120,0.02934438903000346,-0.1738902200135982,-0.026444909419742507,0.017045006318098355,-0.2136728315587922,-0.014939817420952073,0.04320067289233288
1305031794.813436,125,0.006421825008708609,-0.21475491005015618,0.03767275113277186,-0.006757864244331613,-0.22829400553299523,0.03403512237829953,0.01924171661405241
1305031794.98105,130,-0.02953470553242188,-0.2433863520762585,0.12156808221559898,-0.03999543385593529,-0.2365405602235417,0.09282525669628239,0.031343926397038334
1305031795.149077,135,-0.068560786932218,-0.2607318509426406,0.1854382920527746,-0.07607268197315409,-0.24233206909544897,0.15412541396449964,0.03708742203633806
1305031795.31292,140,-0.10352848023613376,-0.2593651764013832,0.2410260146082222,-0.10879839847795197,-0.24561157869523215,0.20959895079352964,0.0347072590123572
1305031795.481096,145,-0.1478185886676975,-0.27486316207358163,0.2807205821143819,-0.13628957792361085,-0.25797985336246715,0.24326266880284275,0.04267387340547892
1305031795.649064,150,-0.17608179621542588,-0.28435496621397505,0.29328025511790257,-0.14690000000000003,-0.2704316780886064,0.25655184030500955,0.04893272562660508
