rgb_time,pair_idx,est_x,est_y,est_z,gt_x,gt_y,gt_z,error_m
1305033527.670034,0,-0.0495842494780806,0.1930305341102212,-0.013942700985763935,0.0,0.0,0.0,0.19978434324531097
1305033527.833907,5,-0.03421711342432177,0.15324111713659475,-0.0234452086898061,0.004055206812060508,-0.03791718338705996,-0.006208914791647868,0.19571243236624436
1305033528.002019,10,-0.006669242008559381,0.1390290277976693,-0.025300655785928598,0.009041699449252594,-0.0585766754881627,-0.008909188660801592,0.19890582657904515
1305033528.169886,15,0.017101109797399622,0.13919821337191957,-0.025064806254197818,0.0089611806499299,-0.05587310397444156,-0.008893758195646417,0.19590962225751582
1305033528.333973,20,-0.0033092092315927107,0.1483133916648417,-0.027238230650847593,0.011638232839806362,-0.029092406361013845,-0.011610347376201036,0.17871898033872746
1305033528.50226,25,-0.013499018801987478,0.17349553291790895,-0.027001142260067598,0.017244517559545258,0.013414810576258152,-0.013231619102114789,0.16358668179725078
1305033528.669999,30,-0.02008229159179839,0.22227663880450832,-0.027782304794173814,0.02591320601769076,0.07211739980449638,-0.013692630474691825,0.15767657333870588
1305033528.834358,35,-0.02278778599458398,0.2765530273850846,-0.026548897305064174,0.04186652838375893,0.1364651503230574,-0.012296776577736424,0.15494488249924734
1305033529.002386,40,0.010678328700099063,0.3422861490722269,-0.02787606902096485,0.05835193476861478,0.20461130343561496,-0.013468757599599424,0.14640596456098756
1305033529.17005,45,0.04031086251582125,0.4137098376719815,-0.023150583414318672,0.06820231743079908,0.2744742913000977,-0.009794626040102061,0.14262837104914694
1305033529.333974,50,0.052226958035605967,0.48615042336925446,-0.014692801448903482,0.07318079536513866,0.3482187826335741,-0.0026528812912761657,0.14003271222207817
1305033529.502276,55,0.05904037947659205,0.5592993100952787,-0.007736417611120698,0.07277782688408219,0.4249358915733279,0.005375246972109116,0.13569878940624927
1305033529.670029,60,0.06303603616007362,0.6341145756308766,-0.007907563693425025,0.06736457781108496,0.5051414320066138,0.008089009931697033,0.13003345114582332
1305033529.835176,65,0.059416430142400764,0.7133024162181298,-0.004620326345367321,0.058563874958040385,0.5880899031527633,0.00986838089788522,0.12605087431695045
1305033530.002319,70,0.05110714333551675,0.7881817480238474,-0.004299958940828902,0.05079893665212332,0.66698203752712,0.009892763989223452,0.12202826803662935
1305033530.169975,75,0.04378535780278889,0.8696991434597172,-0.00586555628175015,0.049800820160694315,0.7533118541830579,0.009013380063419452,0.11748859365620035
1305033530.334417,80,0.04945591286738664,0.9626034497771809,-0.01640990884691813,0.055322339842166945,0.8462711942398016,-0.0008969792337220062,0.11750855130180331
1305033530.503176,85,0.06327400299429208,1.0510597654460023,-0.029216150909460274,0.06798940228405215,0.93981790048399,-0.008743900054836273,0.11320821774828493
1305033530.670053,90,0.08645839975277997,1.1364740714332413,-0.038307011717571726,0.07630237941968865,1.0276547457263427,-0.015031619102114702,0.11174316219668168
1305033530.834043,95,0.09363381134196222,1.2162288739229576,-0.03504751187803788,0.07804389051808425,1.104112300026226,-0.012993331425982801,0.1153237124317799
