rgb_time,pair_idx,est_x,est_y,est_z,gt_x,gt_y,gt_z,error_m
1305031526.671473,0,0.10266338906129302,-0.003540214650641138,-0.032139128195657826,0.0,0.0,0.0,0.10763469763277993
1305031526.83948,5,0.1232866482792836,-0.014959619744128882,0.011741408345599245,0.015078791194016672,-0.03074594795921204,0.026736131325908685,0.11037658361607366
1305031527.007595,10,0.1467904692916381,-0.060181323169254626,0.05200399145410657,0.019302635377125288,-0.07272865745967005,0.04895003469354209,0.12814019683887348
1305031527.17154,15,0.15301855220838217,-0.09562118429936918,0.06645707819441736,0.025164852299549345,-0.1021894523520015,0.0564661683713612,0.1284115610242378
1305031527.339636,20,0.15092642173163517,-0.10278763495428482,0.03393259565538065,0.024467321972508005,-0.1052654685734099,0.04210583549531477,0.12674717125369717
1305031527.507487,25,0.15037961803375346,-0.0986435497435752,0.0026919093879163025,0.020472775750435268,-0.09655735780929087,0.019576594802823477,0.13101615347112722
1305031527.671547,30,0.14068809551455858,-0.09528800082651892,-0.02774843986426329,0.009295713229859448,-0.09023652576115193,-0.005824273418687298,0.1333047058326069
1305031527.839601,35,0.10645116398725102,-0.09398681907631679,-0.04373644138508097,-0.014226434547816913,-0.09429804789296392,-0.023534572174909618,0.12235724404853278
1305031528.007566,40,0.011816379682116601,-0.11017749804581578,-0.04758652817448512,-0.05682241689089906,-0.11298701468001882,-0.03324866702182794,0.07017657758214321
1305031528.171523,45,-0.0555541255612772,-0.14359946256995246,-0.03796529204127473,-0.1013826454950768,-0.1507136923920558,-0.032046200796318924,0.04675362174688165
1305031528.339593,50,-0.12003014857463573,-0.20914091282755187,-0.016088064578653662,-0.14168355979218372,-0.20366360564290542,-0.022017694264727883,0.023109124162658902
1305031528.507469,55,-0.17539834786087632,-0.279688722255245,0.0011986225259041638,-0.1775038981474859,-0.26485437856138094,-0.0033109148129604193,0.015646949282455656
1305031528.67546,60,-0.21625478322634606,-0.3600094221198316,0.02065106112119873,-0.1971481486779676,-0.3312864601959802,-0.0039436354099608995,0.042367099533767286
